,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
110,Marcus Trufant,2011,CB,Defense,SEA,"$3,000,000","$1,666,667","$6,183,333",0.044,NFC,NFC West,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
111,D.J. Williams,2011,ILB,Defense,DEN,"$4,900,000","$250,000","$6,150,000",0.042,AFC,AFC West,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
112,Chris Cooley,2011,TE,Offense,WAS,"$3,700,000","$500,000","$6,133,333",0.046,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
113,Matthew Stafford,2011,QB,Offense,DET,"$525,000",$0,"$6,123,750",0.05,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
114,Calvin Pace,2011,OLB,Defense,NYJ,"$855,000","$1,833,333","$6,118,333",0.048,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
115,Chad Clifton,2011,T,Offense,GB,"$5,750,000",$0,"$6,093,750",0.049,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
116,Jerod Mayo,2011,ILB,Defense,NE,"$600,000","$3,200,000","$6,075,000",0.048,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
117,Maurice Jones-Drew,2011,RB,Offense,JAX,"$4,050,000","$1,800,000","$6,000,000",0.04,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
118,Quincy Black,2011,LB,Defense,TB,"$6,000,000",$0,"$6,000,000",0.042,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
119,Robert Geathers,2011,DE,Defense,CIN,"$3,950,000","$1,833,333","$5,983,333",0.044,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
120,Antonio Gates,2011,TE,Offense,LAC/SD,"$5,200,000","$762,500","$5,962,500",0.05,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
