Year,Conf,Division,Team,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
2016,AFC,AFC North,PIT,11,5,0,0.6875,1,399,327,72,0.423295,0.494141,Yes,No
2016,AFC,AFC South,HOU,9,7,0,0.5625,1,279,328,-49,0.427083,0.501953,Yes,No
2016,AFC,AFC South,IND,8,8,0,0.5,3,411,392,19,0.40625,0.492188,No,No
2016,AFC,AFC South,JAX,3,13,0,0.1875,4,318,400,-82,0.416667,0.527344,No,No
2016,AFC,AFC South,TEN,9,7,0,0.5625,2,381,378,3,0.458333,0.464844,No,No
2016,AFC,AFC West,DEN,9,7,0,0.5625,3,333,297,36,0.454861,0.548828,No,No
2016,AFC,AFC West,KC,12,4,0,0.75,1,389,311,78,0.479167,0.507812,Yes,No
2016,AFC,AFC West,LV/OAK,12,4,0,0.75,2,416,385,31,0.442708,0.503906,Yes,No
2016,AFC,AFC West,LAC/SD,5,11,0,0.3125,4,410,423,-13,0.5125,0.542969,No,No
2016,NFC,NFC East,DAL,13,3,0,0.8125,1,421,306,115,0.439904,0.470703,Yes,No
2016,NFC,NFC East,NYG,11,5,0,0.6875,2,310,284,26,0.454545,0.486328,Yes,No
2016,NFC,NFC East,PHI,7,9,0,0.4375,4,367,331,36,0.517857,0.558594,No,No
2016,NFC,NFC East,WAS,8,7,1,0.53125,3,396,383,13,0.429688,0.515625,No,No
2016,NFC,NFC North,CHI,3,13,0,0.1875,4,279,399,-120,0.395833,0.521484,No,No
2016,NFC,NFC North,DET,9,7,0,0.5625,2,346,358,-12,0.392361,0.474609,Yes,No
2016,NFC,NFC North,GB,10,6,0,0.625,1,432,388,44,0.453125,0.507812,Yes,No
2016,NFC,NFC North,MIN,8,8,0,0.5,3,327,307,20,0.457031,0.492188,No,No
2016,NFC,NFC South,ATL,11,5,0,0.6875,1,540,406,134,0.451705,0.480469,Yes,No
2016,NFC,NFC South,CAR,6,10,0,0.375,4,369,402,-33,0.354167,0.517578,No,No
2016,NFC,NFC South,NO,7,9,0,0.4375,3,469,454,15,0.392857,0.523438,No,No
2016,NFC,NFC South,TB,9,7,0,0.5625,2,354,369,-15,0.434028,0.492188,No,No
2016,NFC,NFC West,ARI,7,8,1,0.46875,2,418,362,56,0.366071,0.462891,No,No
2016,NFC,NFC West,LAR/STL,4,12,0,0.25,3,224,394,-170,0.5,0.503906,No,No
2016,NFC,NFC West,SEA,10,5,1,0.65625,1,354,292,62,0.425,0.441406,Yes,No
2016,NFC,NFC West,SF,2,14,0,0.125,4,309,480,-171,0.25,0.503906,No,No
2015,AFC,AFC East,BUF,8,8,0,0.5,3,379,359,20,0.4375,0.507812,No,No
2015,AFC,AFC East,MIA,6,10,0,0.375,4,310,389,-79,0.46875,0.46875,No,No
2015,AFC,AFC East,NE,12,4,0,0.75,1,465,315,150,0.447917,0.472656,Yes,No
2015,AFC,AFC East,NYJ,10,6,0,0.625,2,387,314,73,0.3875,0.441406,No,No
2015,AFC,AFC North,BAL,5,11,0,0.3125,3,328,401,-73,0.425,0.507812,No,No
2015,AFC,AFC North,CIN,12,4,0,0.75,1,419,279,140,0.40625,0.476562,Yes,No
2015,AFC,AFC North,CLE,3,13,0,0.1875,4,278,432,-154,0.270833,0.53125,No,No
2015,AFC,AFC North,PIT,10,6,0,0.625,2,423,319,104,0.4625,0.503906,Yes,No
2015,AFC,AFC South,HOU,9,7,0,0.5625,1,339,313,26,0.409722,0.496094,Yes,No
2015,AFC,AFC South,IND,8,8,0,0.5,2,333,408,-75,0.40625,0.5,No,No
2015,AFC,AFC South,JAX,5,11,0,0.3125,3,376,448,-72,0.375,0.472656,No,No
2015,AFC,AFC South,TEN,3,13,0,0.1875,4,299,423,-124,0.375,0.492188,No,No
2015,AFC,AFC West,DEN,12,4,0,0.75,1,355,296,59,0.479167,0.5,Yes,Yes
2015,AFC,AFC West,KC,11,5,0,0.6875,2,405,287,118,0.431818,0.496094,Yes,No
2015,AFC,AFC West,LV/OAK,7,9,0,0.4375,3,359,399,-40,0.366071,0.511719,No,No
2015,AFC,AFC West,LAC/SD,4,12,0,0.25,4,320,398,-78,0.328125,0.527344,No,No
2015,NFC,NFC East,DAL,4,12,0,0.25,4,275,374,-99,0.4375,0.53125,No,No
2015,NFC,NFC East,NYG,6,10,0,0.375,3,420,442,-22,0.395833,0.5,No,No
2015,NFC,NFC East,PHI,7,9,0,0.4375,2,377,430,-53,0.473214,0.507812,No,No
2015,NFC,NFC East,WAS,9,7,0,0.5625,1,388,379,9,0.402778,0.464844,Yes,No
2015,NFC,NFC North,CHI,6,10,0,0.375,4,335,397,-62,0.46875,0.546875,No,No
2015,NFC,NFC North,DET,7,9,0,0.4375,3,358,400,-42,0.428571,0.535156,No,No
2015,NFC,NFC North,GB,10,6,0,0.625,2,368,323,45,0.45,0.53125,Yes,No
2015,NFC,NFC North,MIN,11,5,0,0.6875,1,365,302,63,0.448864,0.503906,Yes,No
2015,NFC,NFC South,ATL,8,8,0,0.5,2,339,345,-6,0.453125,0.480469,No,No
2015,NFC,NFC South,CAR,15,1,0,0.9375,1,500,308,192,0.4375,0.441406,Yes,No
2015,NFC,NFC South,NO,7,9,0,0.4375,3,408,476,-68,0.401786,0.503906,No,No
2015,NFC,NFC South,TB,6,10,0,0.375,4,342,417,-75,0.40625,0.484375,No,No
2015,NFC,NFC West,ARI,13,3,0,0.8125,1,489,313,176,0.456731,0.476562,Yes,No
2015,NFC,NFC West,SEA,10,6,0,0.625,2,423,277,146,0.43125,0.519531,Yes,No
2015,NFC,NFC West,SF,5,11,0,0.3125,4,238,387,-149,0.4625,0.539062,No,No
2015,NFC,NFC West,LAR/STL,7,9,0,0.4375,3,280,330,-50,0.482143,0.527344,No,No
2014,AFC,AFC East,BUF,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,No,No
2014,AFC,AFC East,MIA,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
2014,AFC,AFC East,NE,12,4,0,0.75,1,468,313,155,0.484375,0.511719,Yes,Yes
2014,AFC,AFC East,NYJ,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
2014,AFC,AFC North,BAL,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
2014,AFC,AFC North,CIN,10,5,1,0.65625,2,365,344,21,0.425,0.496094,Yes,No
2014,AFC,AFC North,CLE,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
2014,AFC,AFC North,PIT,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,Yes,No
2014,AFC,AFC South,HOU,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
2014,AFC,AFC South,IND,11,5,0,0.6875,1,458,369,89,0.369318,0.476562,Yes,No
2014,AFC,AFC South,JAX,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,No,No
2014,AFC,AFC South,TEN,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
2014,AFC,AFC West,DEN,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
2014,AFC,AFC West,KC,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
2014,AFC,AFC West,LV/OAK,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
2014,AFC,AFC West,LAC/SD,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
2014,NFC,NFC East,DAL,12,4,0,0.75,1,467,352,115,0.421875,0.445312,Yes,No
2014,NFC,NFC East,NYG,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
2014,NFC,NFC East,PHI,10,6,0,0.625,2,474,400,74,0.4125,0.488281,No,No
2014,NFC,NFC East,WAS,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
2014,NFC,NFC North,CHI,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
